x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,delta,y
0.6738504,0.44710672,-0.5124772,0.057319313,-0.026311442,-0.56602955,0.81076705,-0.36574462,-0.0681379,-0.015217637,1,1.3599097
-0.039596464,-0.7655213,0.24304585,0.9867679,-0.050183307,-0.78387976,0.6927699,0.2848031,0.22176562,0.19249298,0,2.8267193
0.82123154,-0.9762914,0.9684264,-0.89908,0.8769738,-0.8564377,-0.47677523,-0.50681067,0.52780354,-0.4311042,0,2.8267193
0.30902195,-0.4856656,-0.6066466,0.42327273,-0.24568051,0.9933107,0.0495468,0.032117724,0.5177026,0.83967173,0,2.8267193
0.77504367,-0.73429996,-0.8786994,-0.38417113,-0.079143085,0.930337,-0.515594,0.8095624,-0.9662574,-0.36109033,0,2.8267193
-0.12806435,-0.85457295,-0.815665,-0.16918454,-0.62464803,-0.67603564,-0.61026204,-0.37790403,0.34176338,-0.23933095,0,2.8267193
-0.26875946,-0.09167796,-0.22152689,0.5496561,0.3365646,-0.29113626,-0.014514249,-0.05057126,0.96171415,-0.15221682,0,2.8267193
-0.20410757,0.30821764,0.34673035,0.2260732,0.4013885,0.17699185,0.31127155,-0.43679097,0.66397995,0.9707792,1,1.0652081
0.922327,0.23500182,0.7562475,-0.8266788,-0.18852068,-0.33901578,-0.12494108,-0.25061715,0.32107678,-0.805237,1,0.5521138
0.7337604,0.28187054,0.2924338,0.43017748,0.78183275,-0.61114216,0.71771824,0.9832718,-0.1316763,0.83385366,1,0.89429265
0.009616834,0.52000016,0.8753816,0.099203795,0.004064192,0.36230293,-0.32892886,-0.9819964,0.7288308,-0.956776,1,2.1821568
-0.709778,0.6050231,0.9658782,-0.39872807,0.3589953,0.695907,-0.68533176,0.6320659,-0.8761598,0.60674226,1,1.9075904
0.8266279,-0.17397484,-0.15414287,0.76972634,-0.8585448,-0.99434614,-0.691075,-0.2353158,0.5335231,0.11772983,1,1.9468638
-0.14559379,-0.056003153,-0.5675206,-0.7496969,0.8942441,0.75866723,0.8241832,-0.6079461,0.3830155,0.5859123,0,2.8267193
0.3644748,0.7524884,-0.60233575,0.41583255,-0.8977271,-0.004486991,0.21899723,-0.8845152,0.118331306,-0.8172335,1,0.118141435
0.47716242,0.50095105,0.18585138,-0.32572815,-0.38209617,0.5176302,-0.6356489,-0.9471556,-0.06727516,0.08901529,1,1.9612794
0.29741633,0.214292,-0.47919354,0.7275061,-0.010008076,0.330116,0.33838654,0.9986172,-0.16786882,0.36954919,1,2.8188488
-0.018102009,-0.47756433,0.64472187,-0.39947525,-0.30668762,0.42661485,-0.4081696,-0.69132805,-0.1732652,-0.7084031,0,2.8267193
-0.4382087,-0.3385744,-0.7836054,0.9415837,0.45907944,-0.9077446,0.6180845,0.6296737,0.736473,0.88623327,0,2.8267193
0.4868024,0.5842737,0.822987,0.7249485,0.62593246,-0.7987129,0.98187006,0.08836948,-0.50437105,0.2815571,1,0.45002377
-0.84102935,-0.24469844,-0.90353906,-0.6918038,0.932699,0.5107356,-0.11371931,-0.3520395,-0.8052287,-0.036672436,0,2.8267193
-0.7710365,0.73698324,0.6835258,0.83403957,-0.24129505,0.30956885,-0.006037056,-0.9313123,-0.3228652,-0.08169224,0,2.8267193
0.9978987,0.46798515,0.65814525,-0.62304664,-0.36553124,0.7691322,0.4414584,-0.15204865,0.43105695,0.67867434,1,0.35037702
-0.41304672,0.20393723,0.21971016,0.84486794,-0.9019493,0.107176214,-0.010768972,0.8106304,-0.8021775,0.6947495,1,1.7993851
-0.11296845,0.8123697,0.012591688,0.9882003,-0.9366337,0.000196667,0.38290557,0.3353625,-0.6112765,0.7201076,1,1.0032705
0.19602051,0.9712457,-0.8055893,-0.39445764,-0.27022988,0.2476013,0.8847891,-0.8213728,-0.86237097,-0.42356527,1,0.29014093
